Nombre,ID,Conteo,Temp,Hum,Rad,Fecha
48,2,29,12.7,83.3,0,18/12/15 4:12
49,2,26,12.4,83.8,0,18/12/15 4:16
50,2,16,12.9,83.2,0,18/12/15 4:20
51,2,21,12.8,83.7,0,18/12/15 4:24
52,2,19,12.6,84,0,18/12/15 4:28
53,2,10,12.8,83.8,0,18/12/15 4:32
54,2,27,12.9,87.8,0,18/12/15 4:36
55,2,17,13,87.5,0,18/12/15 4:40
56,2,13,12.8,87.8,0,18/12/15 4:44
57,2,13,12.5,87.5,0,18/12/15 4:48
58,2,19,12.9,87,0,18/12/15 4:52
59,2,20,12.1,87.5,0,18/12/15 4:56
60,2,18,13,87,0,18/12/15 5:00
61,2,6,10,87.9,0,18/12/15 5:04
62,2,23,11.2,88,0,18/12/15 5:08
63,2,19,11.4,87.2,0,18/12/15 5:12
64,2,30,10.1,87.4,0,18/12/15 5:16
65,2,15,10.5,87.8,0,18/12/15 5:20
66,2,8,10.2,87.1,0,18/12/15 5:24
67,2,25,10.3,87.2,0,18/12/15 5:28
68,2,25,10.9,87.1,0,18/12/15 5:32
69,2,18,10.2,87.2,0,18/12/15 5:36
70,2,7,11,87.6,0,18/12/15 5:40
71,2,29,10.2,90.8,0,18/12/15 5:44
72,2,17,10.4,90.3,0,18/12/15 5:48
73,2,6,10.8,90.7,0,18/12/15 5:52
74,2,27,10.2,90.1,0,18/12/15 5:56
75,2,26,11,90.1,0,18/12/15 6:00
76,2,26,10.8,90.6,0,18/12/15 6:04
77,2,8,10.5,90.4,0,18/12/15 6:08
78,2,29,10,90.7,0,18/12/15 6:12
79,2,24,10,90.5,0,18/12/15 6:16
80,2,14,10.2,90.7,0,18/12/15 6:20
81,2,16,10.7,90.9,0,18/12/15 6:24
82,2,29,10.4,90.4,0,18/12/15 6:28
83,2,8,10.3,90.3,0,18/12/15 6:32
84,2,23,10.9,92,0,18/12/15 6:36
85,2,6,11,92.6,0,18/12/15 6:40
86,2,20,10.2,92,0,18/12/15 6:44
87,2,19,10,93,0,18/12/15 6:48
88,2,24,10.4,92.9,0,18/12/15 6:52
89,2,21,11,92.3,0,18/12/15 6:56
90,2,7,10,92.3,0,18/12/15 7:00
91,2,11,10.2,93,0,18/12/15 7:04
92,2,15,10.4,93,0,18/12/15 7:08
93,2,18,10.6,92.1,0,18/12/15 7:12
94,2,17,10.4,92.8,0,18/12/15 7:16
95,2,11,10.6,92.8,0,18/12/15 7:20
96,2,14,11,92.5,0,18/12/15 7:24
97,2,22,10.9,92.7,0,18/12/15 7:28
98,2,19,10.2,92.6,0,18/12/15 7:32
99,2,15,10.7,92.8,0,18/12/15 7:36
100,2,14,10.3,92.1,0,18/12/15 7:40
101,2,17,11,92.7,0,18/12/15 7:44
102,2,24,10.5,92.1,0,18/12/15 7:48
103,2,6,10.3,92.1,0,18/12/15 7:52
104,2,9,10.8,92.5,0,18/12/15 7:56
105,2,12,11,92.6,0,18/12/15 8:00
106,2,22,10.3,93,0,18/12/15 8:04
107,2,16,10.4,93.6,0,18/12/15 8:08
108,2,30,10.3,93,0,18/12/15 8:12
109,2,7,10,93.1,0,18/12/15 8:16
110,2,8,10.5,94,0,18/12/15 8:20
111,2,22,10.9,93,0,18/12/15 8:24
112,2,13,10.7,93.2,0,18/12/15 8:28
113,2,14,10,93.4,0,18/12/15 8:32
114,2,22,11,93,0,18/12/15 8:36
115,2,18,10.5,93.6,0,18/12/15 8:40
116,2,21,10.7,93.9,0,18/12/15 8:44
117,2,19,10.9,94,0,18/12/15 8:48
118,2,24,10.2,93.7,0,18/12/15 8:52
119,2,21,11.8,92.2,0,18/12/15 8:56
120,2,18,11.7,92.1,0,18/12/15 9:00
121,2,6,11.7,92.4,0,18/12/15 9:04
122,2,23,11.3,92.3,0,18/12/15 9:08
123,2,24,11.6,88,0,18/12/15 9:12
124,2,10,11,88.2,0,18/12/15 9:16
125,2,18,12.1,88.8,0,18/12/15 9:20
126,2,20,12.1,75.9,0,18/12/15 9:24
127,2,23,12,75.8,0,18/12/15 9:28
128,2,13,12.6,76,0,18/12/15 9:32
129,2,23,12,75,0,18/12/15 9:36
130,2,15,12.5,75.9,0,18/12/15 9:40
131,2,20,12.7,75.2,0,18/12/15 9:44
132,2,13,12.7,75.8,0,18/12/15 9:48
133,2,21,12.6,67.8,0,18/12/15 9:52
134,2,23,12.8,67.5,0,18/12/15 9:56
135,2,26,13.6,68,0,18/12/15 10:00
136,2,7,13.8,67.6,0,18/12/15 10:04
137,2,22,13.1,67.9,0,18/12/15 10:08
138,2,19,13.2,67.9,0,18/12/15 10:12
139,2,15,13.5,67.5,0,18/12/15 10:16
140,2,15,13.6,67.1,0,18/12/15 10:20
141,2,8,13.2,67.4,0,18/12/15 10:24
142,2,15,13.8,67.5,0,18/12/15 10:28
143,2,6,15,67.6,0,18/12/15 10:32
144,2,23,15.2,67.5,0,18/12/15 10:36
145,2,14,15.1,68,0,18/12/15 10:40
146,2,16,16,67.5,0,18/12/15 10:44
147,2,27,15.2,67.2,0,18/12/15 10:48
148,2,6,15.6,67.8,0,18/12/15 10:52
149,2,18,15.1,68,0,18/12/15 10:56
150,2,18,15.9,67.2,0,18/12/15 11:00
151,2,30,15.8,67.4,0,18/12/15 11:04
152,2,11,16,67.2,0,18/12/15 11:08
153,2,12,15.6,53,0,18/12/15 11:12
154,2,11,15.1,53,1,18/12/15 11:16
155,2,24,15.1,53.4,1,18/12/15 11:20
156,2,16,15.6,46,1,18/12/15 11:24
157,2,16,17.5,45.3,1,18/12/15 11:28
158,2,8,16.5,45.5,1,18/12/15 11:32
159,2,30,18,45.8,1,18/12/15 11:36
160,2,7,17.3,46,1,18/12/15 11:40
161,2,13,17.6,45.2,1,18/12/15 11:44
162,2,19,17,45.3,1,18/12/15 11:48
163,2,8,16.7,45.8,1,18/12/15 11:52
164,2,9,17.6,45.8,1,18/12/15 11:56
165,2,15,17.9,45,1,18/12/15 12:00
166,2,12,16.8,45.4,1,18/12/15 12:04
167,2,6,17.3,45.4,1,18/12/15 12:08
168,2,24,17.9,45.7,1,18/12/15 12:12
169,2,24,16.8,45.9,1,18/12/15 12:16
170,2,10,17.1,45.2,1,18/12/15 12:20
171,2,10,19.5,39.2,1,18/12/15 12:24
172,2,7,19.5,40,1,18/12/15 12:28
173,2,22,19.2,39.1,1,18/12/15 12:32
174,2,11,18.5,39.9,1,18/12/15 12:36
175,2,19,18.6,39.4,1,18/12/15 12:40
176,2,5,18.6,39.8,1,18/12/15 12:44
177,2,28,18.7,39.2,1,18/12/15 12:48
178,2,23,19.3,39.6,1,18/12/15 12:52
179,2,28,18.8,39.8,1,18/12/15 12:56
180,2,8,19.8,39.2,1,18/12/15 13:00
181,2,26,18.5,39.5,1,18/12/15 13:04
182,2,15,19.3,39,1,18/12/15 13:08
183,2,14,19.3,39.4,2,18/12/15 13:12
184,2,27,19.6,40,2,18/12/15 13:16
185,2,7,18.6,39.1,2,18/12/15 13:20
186,2,17,18.8,39.6,2,18/12/15 13:24
187,2,9,18.6,39,2,18/12/15 13:28
188,2,16,20,36.6,2,18/12/15 13:32
189,2,29,19.9,36.2,2,18/12/15 13:36
190,2,8,19.9,36.9,3,18/12/15 13:40
191,2,19,19,36.9,3,18/12/15 13:44
192,2,13,20,36.9,3,18/12/15 13:48
193,2,28,21,36.1,3,18/12/15 13:52
194,2,20,20.1,36,3,18/12/15 13:56
195,2,17,20,36,3,18/12/15 14:00
196,2,27,21,36.6,3,18/12/15 14:04
197,2,20,20.2,36.2,4,18/12/15 14:08
198,2,29,20.2,36.9,4,18/12/15 14:12
199,2,21,21,36.6,4,18/12/15 14:16
200,2,15,20.2,36.7,4,18/12/15 14:20
201,2,28,20.8,36.6,4,18/12/15 14:24
202,2,30,20.8,36.6,5,18/12/15 14:28
203,2,6,20.2,36,5,18/12/15 14:32
204,2,26,20.6,36.4,5,18/12/15 14:36
205,2,29,20.8,36.1,5,18/12/15 14:40
206,2,21,20.5,37,5,18/12/15 14:44
207,2,18,20.9,36.7,5,18/12/15 14:48
208,2,18,20.3,36.8,6,18/12/15 14:52
209,2,17,21,36.6,6,18/12/15 14:56
210,2,25,20.7,36.5,6,18/12/15 15:00
211,2,25,20.6,36.3,6,18/12/15 15:04
212,2,12,20.7,36.2,6,18/12/15 15:08
213,2,12,22.5,36.7,6,18/12/15 15:12
214,2,8,22.4,36.6,6,18/12/15 15:16
215,2,28,22.2,37.2,6,18/12/15 15:20
216,2,26,22.3,38,6,18/12/15 15:24
217,2,5,22.2,37.5,6,18/12/15 15:28
218,2,21,22.2,37.6,6,18/12/15 15:32
219,2,22,22.1,38,6,18/12/15 15:36
220,2,9,22,37.8,6,18/12/15 15:40
221,2,5,22.4,37.1,7,18/12/15 15:44
222,2,16,22,37.8,7,18/12/15 15:48
223,2,19,22.5,38,7,18/12/15 15:52
224,2,30,22,37,7,18/12/15 15:56
225,2,19,22.1,37.8,7,18/12/15 16:00
226,2,9,22.3,37.3,7,18/12/15 16:04
227,2,18,22.3,37.7,7,18/12/15 16:08
228,2,22,22.3,37.2,7,18/12/15 16:12
229,2,27,22.4,37.2,7,18/12/15 16:16
230,2,18,22.5,38.6,7,18/12/15 16:20
231,2,20,22.5,38,7,18/12/15 16:24
232,2,9,22.5,38.8,7,18/12/15 16:28
233,2,30,22.5,38.8,7,18/12/15 16:32
234,2,18,22.5,38.8,7,18/12/15 16:36
235,2,8,22.4,38.3,7,18/12/15 16:40
236,2,15,22.4,38.5,7,18/12/15 16:44
237,2,13,22.1,38.2,7,18/12/15 16:48
238,2,13,21.6,43.8,7,18/12/15 16:52
239,2,6,21.6,44,7,18/12/15 16:56
240,2,28,21,43.8,7,18/12/15 17:00
241,2,15,21.7,43.5,7,18/12/15 17:04
242,2,24,21.7,43.3,7,18/12/15 17:08
243,2,18,21.6,43.9,7,18/12/15 17:12
244,2,30,21.4,44,7,18/12/15 17:16
245,2,27,21.5,44,7,18/12/15 17:20
246,2,23,21.7,43.8,7,18/12/15 17:24
247,2,14,22,43.1,7,18/12/15 17:28
248,2,22,21.5,43.5,7,18/12/15 17:32
249,2,8,21.8,43.2,7,18/12/15 17:36
250,2,25,21.4,43.7,7,18/12/15 17:40
251,2,20,21.9,43.8,7,18/12/15 17:44
252,2,11,21.6,43.6,6,18/12/15 17:48
253,2,23,21.6,43.8,6,18/12/15 17:52
254,2,12,21.2,43.5,6,18/12/15 17:56
255,2,18,22,43,6,18/12/15 18:00
256,2,21,19.4,43.5,6,18/12/15 18:04
257,2,13,20,43.9,6,18/12/15 18:08
258,2,17,19.6,57.9,6,18/12/15 18:12
259,2,9,19.5,57.9,6,18/12/15 18:16
260,2,24,19.4,57.4,6,18/12/15 18:20
261,2,28,19.4,57.9,5,18/12/15 18:24
262,2,28,19.3,57.4,5,18/12/15 18:28
263,2,8,20,57.6,5,18/12/15 18:32
264,2,21,19.8,57.3,5,18/12/15 18:36
265,2,22,19.8,57.7,5,18/12/15 18:40
266,2,27,19.5,57.8,5,18/12/15 18:44
267,2,22,20,57.4,5,18/12/15 18:48
268,2,29,19.2,57,5,18/12/15 18:52
269,2,14,19,57.2,5,18/12/15 18:56
270,2,14,19.6,57.2,3,18/12/15 19:00
271,2,23,19,57.7,3,18/12/15 19:04
272,2,9,19.3,57.5,3,18/12/15 19:08
273,2,14,18.8,57,3,18/12/15 19:12
274,2,14,18.8,57,3,18/12/15 19:16
275,2,22,18.8,57.8,3,18/12/15 19:20
276,2,13,18.7,57.8,3,18/12/15 19:24
277,2,28,18.6,57.6,3,18/12/15 19:28
278,2,13,18.7,57.1,3,18/12/15 19:32
279,2,23,18.6,68.7,3,18/12/15 19:36
280,2,26,18.6,68.2,3,18/12/15 19:40
281,2,27,18.7,68.2,3,18/12/15 19:44
282,2,25,18.8,68.3,3,18/12/15 19:48
283,2,10,18.5,68,3,18/12/15 19:52
284,2,12,17.9,68.3,3,18/12/15 19:56
285,2,16,18,68,3,18/12/15 20:00
286,2,18,17,68.2,3,18/12/15 20:04
287,2,23,17.6,68.3,3,18/12/15 20:08
288,2,11,17.4,68,3,18/12/15 20:12
289,2,6,17.5,68,3,18/12/15 20:16
290,2,13,17.6,68.6,3,18/12/15 20:20
291,2,16,17,68,3,18/12/15 20:24
292,2,16,17.3,68.4,2,18/12/15 20:28
293,2,13,17.2,68.5,2,18/12/15 20:32
294,2,18,17.7,68.9,2,18/12/15 20:36
295,2,27,17.6,68.8,2,18/12/15 20:40
296,2,12,17.2,68.5,2,18/12/15 20:44
297,2,23,16.5,68.2,2,18/12/15 20:48
298,2,29,16.1,68.9,2,18/12/15 20:52
299,2,30,16.1,68.5,2,18/12/15 20:56
300,2,6,16.3,68.5,2,18/12/15 21:00
301,2,30,16.9,68,1,18/12/15 21:04
302,2,23,16.3,68,2,18/12/15 21:08
303,2,8,16,68.2,2,18/12/15 21:12
304,2,9,16.5,68,2,18/12/15 21:16
305,2,26,16.4,68.8,2,18/12/15 21:20
306,2,26,17.4,68.5,2,18/12/15 21:24
307,2,30,16.4,68.5,2,18/12/15 21:28
308,2,14,17.4,64.3,2,18/12/15 21:32
309,2,29,17.5,64.7,2,18/12/15 21:36
310,2,14,17.2,64.4,2,18/12/15 21:40
311,2,24,17.4,64.4,1,18/12/15 21:44
312,2,6,16.9,64,1,18/12/15 21:48
313,2,6,16.2,64.7,1,18/12/15 21:52
314,2,21,17.4,64.3,1,18/12/15 21:56
315,2,23,14,64.6,1,18/12/15 22:00
316,2,12,14.5,64.4,1,18/12/15 22:04
317,2,30,14.7,64.9,1,18/12/15 22:08
318,2,8,14.3,64,1,18/12/15 22:12
319,2,11,14,64.5,1,18/12/15 22:16
320,2,24,14.5,64.3,1,18/12/15 22:20
321,2,7,14.8,64.4,1,18/12/15 22:24
322,2,27,14.8,64.8,1,18/12/15 22:28
323,2,26,14.2,69.6,1,18/12/15 22:32
324,2,14,14.8,70,1,18/12/15 22:36
325,2,14,15,69.9,1,18/12/15 22:40
326,2,20,15,70,1,18/12/15 22:44
327,2,16,15,69.1,1,18/12/15 22:48
328,2,28,14.9,69.3,1,18/12/15 22:52
329,2,30,14,69.3,1,18/12/15 22:56
330,2,9,14.7,69.6,1,18/12/15 23:00
331,2,7,14.8,69.1,0,18/12/15 23:04
332,2,16,14,69,0,18/12/15 23:08
333,2,21,14,69.6,0,18/12/15 23:12
334,2,27,14,69.9,0,18/12/15 23:16
335,2,20,14.8,69.7,0,18/12/15 23:20
336,2,22,14.9,69,0,18/12/15 23:24
337,2,17,14.3,70,0,18/12/15 23:28
338,2,26,14.9,70,0,18/12/15 23:32
339,2,26,14.3,69.2,0,18/12/15 23:36
340,2,11,14.4,69.5,0,18/12/15 23:40
341,2,11,14.8,69.7,0,18/12/15 23:44
342,2,26,14.7,69.9,0,18/12/15 23:48
343,2,27,14.1,69,0,18/12/15 23:52
344,2,15,14.8,69,0,18/12/15 23:56
